Test,Before,After,Percentage
crypto_public_key_inline_tests::public_key_try_from_bytes,66228,63502,4.12
crypto_public_key_inline_tests::public_key_try_into_b256,1547,1480,4.33
crypto_public_key_inline_tests::public_key_try_into_b256_tuple,2153,2067,3.99
crypto_public_key_inline_tests::public_key_try_into_b512,2484,2392,3.70
crypto_scalar_inline_tests::scalar_b256_try_from,1196,1148,4.01
crypto_scalar_inline_tests::scalar_bytes,851,813,4.47
crypto_scalar_inline_tests::scalar_codec,272,268,1.47
crypto_scalar_inline_tests::scalar_from_b256,1623,1551,4.44
crypto_scalar_inline_tests::scalar_from_u256,1659,1587,4.34
crypto_scalar_inline_tests::scalar_from_u8_array,5099,4841,5.06
crypto_scalar_inline_tests::scalar_is_zero,2890,2864,0.90
crypto_scalar_inline_tests::scalar_min,450,433,3.78
crypto_scalar_inline_tests::scalar_new,240,227,5.42
crypto_scalar_inline_tests::scalar_u256_try_from,1196,1148,4.01
crypto_scalar_inline_tests::scalar_zero,475,457,3.79
crypto_secp256k1_inline_tests::secp256k1_address,3559,3501,1.63
crypto_secp256k1_inline_tests::secp256k1_bits,2980,2785,6.54
crypto_secp256k1_inline_tests::secp256k1_codec,3799,3732,1.76
crypto_secp256k1_inline_tests::secp256k1_eq,795,759,4.53
crypto_secp256k1_inline_tests::secp256k1_evm_address,3543,3486,1.61
crypto_secp256k1_inline_tests::secp256k1_from_b256_tuple,14903,14129,5.19
crypto_secp256k1_inline_tests::secp256k1_from_b512,15095,14318,5.15
crypto_secp256k1_inline_tests::secp256k1_hash,647,626,3.25
crypto_secp256k1_inline_tests::secp256k1_into_b256_tuple,706,688,2.55
crypto_secp256k1_inline_tests::secp256k1_into_b512,1051,1027,2.28
crypto_secp256k1_inline_tests::secp256k1_into_bytes,24621,24003,2.51
crypto_secp256k1_inline_tests::secp256k1_new,5442,5121,5.90
crypto_secp256k1_inline_tests::secp256k1_recover,3297,3248,1.49
crypto_secp256k1_inline_tests::secp256k1_try_from_bytes,16776,15927,5.06
crypto_secp256k1_inline_tests::secp256k1_verify,4322,4229,2.15
crypto_secp256k1_inline_tests::secp256k1_verify_address,4323,4238,1.97
crypto_secp256k1_inline_tests::secp256k1_verify_evm_address,4300,4217,1.93
